epoch,accuracy,loss,val_accuracy,val_loss
0,0.37669527530670166,1.3200082778930664,0.4063400626182556,1.2798810005187988
1,0.6495986580848694,0.9595126509666443,0.6685879230499268,0.9036352634429932
2,0.7996125221252441,0.568978488445282,0.6743515729904175,0.7592201828956604
3,0.8519235849380493,0.41208863258361816,0.6945244669914246,0.810001790523529
4,0.8856905698776245,0.3243592381477356,0.6858789920806885,0.8180779218673706
5,0.9125380516052246,0.26439744234085083,0.6657060384750366,0.8444097638130188
6,0.9302518963813782,0.21767061948776245,0.6829971075057983,0.9442837238311768
7,0.9368945360183716,0.18818633258342743,0.6887608170509338,0.9912506937980652
8,0.9551619291305542,0.15454880893230438,0.6858789920806885,1.0695897340774536
9,0.9604207277297974,0.13297447562217712,0.6628242135047913,1.1141884326934814
10,0.9634652733802795,0.1186051294207573,0.6657060384750366,1.182302713394165
11,0.9692776203155518,0.1102171465754509,0.6772334575653076,1.2215458154678345
12,0.9698311686515808,0.1010274738073349,0.6714697480201721,1.262595534324646
13,0.973706066608429,0.09195464104413986,0.6599423885345459,1.3199315071105957
14,0.9698311686515808,0.09075005352497101,0.680115282535553,1.3251595497131348
15,0.975089967250824,0.07948270440101624,0.6743515729904175,1.3989535570144653
16,0.973706066608429,0.07952993363142014,0.6685879230499268,1.4366315603256226
17,0.9767506122589111,0.07267899811267853,0.6772334575653076,1.4639830589294434
18,0.9745364189147949,0.07891383022069931,0.651296854019165,1.5148377418518066
19,0.9773041605949402,0.06720762699842453,0.6685879230499268,1.496841311454773
20,0.9775809645652771,0.0651266798377037,0.6772334575653076,1.5604034662246704
21,0.9759202599525452,0.06614959985017776,0.680115282535553,1.5433342456817627
22,0.9781345129013062,0.06418989598751068,0.6657060384750366,1.5737196207046509
23,0.9784113168716431,0.05559311807155609,0.6541786789894104,1.6012340784072876
24,0.977027416229248,0.059478674083948135,0.6657060384750366,1.6313320398330688
